facility_type,monthly_energy_kwh,renewable_energy_pct,peak_load_factor,facility_area_sqm,operational_days_year,equipment_efficiency_rating,logistics_distance_km,fuel_consumed_liters,waste_recycled_pct,water_usage_m3,annual_carbon_footprint_mt,energy_intensity_kwh_sqm,eco_composite_score,sustainability_tier
Logistics Hub,572155.9,71.2,0.65,72565.3,280,3.96,46377.4,14536.9,42.2,10377.6,3174.14,94.6,63.2,Efficient (Tier B)
Commercial Office,66785.8,20.7,0.64,5566.8,240,2.92,6912.3,2218.1,50.2,1335.4,502.17,144.0,38.1,Moderate (Tier C)
Commercial Office,505289.0,78.6,0.52,24499.1,260,2.6,4094.5,536.1,60.5,7911.3,1034.12,247.5,58.7,Efficient (Tier B)
Manufacturing,2104672.6,20.4,0.75,73811.0,300,2.97,44887.3,8708.7,42.8,43478.1,10046.45,342.2,32.9,High Risk (Tier D)
Manufacturing,583750.4,31.5,0.71,34214.7,350,2.8,6812.8,6199.3,74.0,38880.2,2842.65,204.7,44.2,Moderate (Tier C)
Healthcare,1148780.4,35.6,0.81,39166.0,365,2.99,3347.8,1053.0,50.1,40698.1,4223.44,352.0,37.1,Moderate (Tier C)
Healthcare,784430.0,33.2,0.82,27279.7,365,4.32,2190.2,1877.7,56.4,32314.4,2922.78,345.1,46.4,Moderate (Tier C)
Commercial Office,157807.1,58.4,0.51,11715.0,260,4.25,4978.7,1669.9,66.1,4296.3,565.1,161.6,66.1,Efficient (Tier B)
Data Center,403159.3,83.2,0.88,9694.3,360,3.77,3148.3,533.7,87.8,5427.5,448.73,499.0,61.7,Efficient (Tier B)
Data Center,1365956.5,77.7,0.84,26730.3,360,4.39,2222.6,1679.3,55.0,15923.4,2179.35,613.2,64.3,Efficient (Tier B)
Logistics Hub,505996.4,29.5,0.73,60003.3,320,2.95,38792.6,15562.8,69.3,8557.9,3455.62,101.2,53.3,Moderate (Tier C)
Healthcare,830327.9,56.4,0.84,38479.4,365,4.44,7999.8,5913.2,61.1,48691.0,2850.78,258.9,60.7,Efficient (Tier B)
Healthcare,345159.2,47.8,0.77,13572.5,365,3.33,7398.1,5420.0,67.2,17736.0,1343.7,305.2,47.9,Moderate (Tier C)
Logistics Hub,697489.5,27.4,0.47,65945.2,365,4.3,59827.1,15555.8,64.6,14440.3,4417.29,126.9,54.3,Moderate (Tier C)
Commercial Office,36225.5,49.9,0.8,3883.2,240,4.65,6510.1,1718.2,62.1,395.0,217.18,111.9,68.3,Efficient (Tier B)
Manufacturing,730451.9,50.8,0.89,29762.0,350,2.77,36349.5,8794.2,35.1,17306.6,3076.59,294.5,39.7,Moderate (Tier C)
Manufacturing,414763.3,65.5,0.79,10934.8,350,4.06,29781.0,8760.7,58.2,9427.5,1318.64,455.2,54.1,Moderate (Tier C)
Healthcare,1320409.4,45.8,0.84,29495.2,365,3.68,11196.2,2824.0,71.1,19223.9,3942.31,537.2,41.3,Moderate (Tier C)
Commercial Office,358230.3,49.6,0.63,28015.9,240,3.58,3822.9,1286.0,86.1,10038.5,1179.93,153.4,61.4,Efficient (Tier B)
Manufacturing,1859045.3,40.0,0.85,42760.2,350,3.63,19924.9,13300.3,64.9,19268.7,7513.86,521.7,43.1,Moderate (Tier C)
Manufacturing,1906068.5,8.0,0.68,55313.8,350,3.82,37410.3,6965.9,57.7,26758.1,10770.37,413.5,34.9,High Risk (Tier D)
Commercial Office,312458.1,75.2,0.47,14681.5,260,4.29,5072.7,1779.1,87.5,5159.8,530.56,255.4,68.8,Efficient (Tier B)
Manufacturing,1329599.2,56.8,0.72,44835.8,250,3.38,38351.7,9710.9,26.2,16620.7,5231.05,355.9,37.7,Moderate (Tier C)
Manufacturing,1754004.3,51.1,0.62,48615.4,300,2.03,29273.9,12571.7,33.7,53215.5,6520.4,433.0,32.4,High Risk (Tier D)
Commercial Office,533882.7,31.2,0.52,26163.9,240,4.34,7134.4,400.5,69.9,4190.6,2259.08,244.9,53.3,Moderate (Tier C)
Commercial Office,314737.0,76.3,0.78,18885.1,240,2.64,3014.6,260.8,80.4,7414.3,567.27,200.0,57.9,Efficient (Tier B)
Commercial Office,259778.2,85.7,0.58,28263.0,260,3.46,1760.9,1239.9,29.9,3294.5,1072.64,110.3,60.8,Efficient (Tier B)
Manufacturing,1189503.2,27.8,0.9,38499.7,250,4.41,22589.6,5340.4,39.5,39210.5,5676.93,370.8,38.5,Moderate (Tier C)
Logistics Hub,201329.6,72.9,0.49,30112.9,280,3.21,28611.6,17655.2,76.6,2530.2,1198.24,80.2,70.4,Efficient (Tier B)
Manufacturing,667743.4,14.6,0.68,14971.2,300,3.11,17096.8,8760.9,57.7,15321.9,3487.06,535.2,34.0,High Risk (Tier D)
Data Center,605820.1,43.6,0.86,20165.3,360,3.35,4439.3,995.1,79.3,15941.5,2094.85,360.5,44.5,Moderate (Tier C)
Logistics Hub,324233.9,32.0,0.47,33324.7,280,3.65,45024.6,14878.7,62.3,7412.8,2316.45,116.8,56.0,Efficient (Tier B)
Commercial Office,557737.2,57.0,0.76,25523.0,260,2.54,4420.7,1230.1,69.7,7575.7,1587.05,262.2,44.5,Moderate (Tier C)
Logistics Hub,376762.0,72.3,0.68,57775.4,365,3.9,33726.5,11193.9,79.1,13326.4,1384.05,78.3,76.4,Leader (Tier A)
Commercial Office,298119.8,64.6,0.63,16284.2,260,3.98,2223.7,1426.4,34.2,3446.6,1027.5,219.7,61.6,Efficient (Tier B)
Commercial Office,190524.6,58.2,0.55,17984.6,260,3.63,3549.2,2267.7,61.3,5056.5,753.56,127.1,63.1,Efficient (Tier B)
Manufacturing,1316216.4,60.7,0.68,34126.0,300,2.79,8480.7,8681.4,31.4,36194.4,3898.45,462.8,36.7,Moderate (Tier C)
Data Center,823926.5,61.0,0.75,25182.9,360,4.04,3150.2,1553.0,42.9,14457.2,2297.72,392.6,53.0,Moderate (Tier C)
Data Center,539752.3,13.4,0.77,16295.9,365,3.7,922.0,1075.0,56.0,12261.8,2585.93,397.5,33.9,High Risk (Tier D)
Manufacturing,520175.5,58.2,0.87,23490.2,350,1.82,35900.7,10429.9,53.3,20054.2,1868.26,265.7,43.3,Moderate (Tier C)
Healthcare,1477112.1,12.7,0.74,34051.1,365,4.22,8183.9,4306.9,55.6,42195.5,7545.91,520.6,32.6,High Risk (Tier D)
Data Center,571831.8,47.2,0.82,11802.2,360,4.0,726.1,262.8,86.2,6263.4,1625.36,581.4,53.6,Moderate (Tier C)
Healthcare,287608.7,46.5,0.76,13945.1,365,3.27,2645.0,4567.9,35.5,7289.9,1317.77,247.5,43.1,Moderate (Tier C)
Commercial Office,91323.2,56.7,0.73,6857.9,260,2.63,4763.5,1663.6,80.7,1119.4,328.92,159.8,59.1,Efficient (Tier B)
Logistics Hub,1181601.0,26.4,0.53,69279.3,320,2.54,52208.6,11346.3,50.7,14205.6,6079.28,204.7,38.9,Moderate (Tier C)
Commercial Office,61011.4,37.2,0.68,2842.9,240,3.97,4979.7,1668.1,65.3,448.3,303.82,257.5,55.0,Efficient (Tier B)
Commercial Office,283508.8,68.0,0.57,18789.6,240,3.15,7725.2,124.7,65.5,5915.2,813.04,181.1,59.6,Efficient (Tier B)
Commercial Office,367564.5,55.6,0.57,29723.0,260,3.22,6871.5,313.6,89.0,11815.2,1014.76,148.4,63.3,Efficient (Tier B)
Manufacturing,2030487.0,72.8,0.66,71034.8,350,2.05,11511.6,9142.6,49.0,30930.3,5126.06,343.0,47.1,Moderate (Tier C)
Logistics Hub,390621.4,30.6,0.56,47598.7,320,4.31,44138.2,7822.6,36.9,4066.8,2939.01,98.5,53.1,Moderate (Tier C)
Data Center,1743659.5,86.1,0.82,33246.0,365,4.33,2350.4,924.3,90.0,24294.6,1427.8,629.4,68.9,Efficient (Tier B)
Manufacturing,1086317.0,62.6,0.68,30402.1,250,3.77,42608.8,9245.6,31.3,32737.6,3554.86,428.8,44.3,Moderate (Tier C)
Commercial Office,150363.9,23.7,0.69,15602.9,260,3.19,4970.6,1141.2,60.5,2329.8,877.01,115.6,47.8,Moderate (Tier C)
Manufacturing,1738304.2,67.9,0.82,68656.8,350,4.32,37839.2,8799.3,46.0,61195.7,5175.8,303.8,60.5,Efficient (Tier B)
Healthcare,407258.3,17.1,0.86,20091.4,365,4.4,3357.9,3799.7,73.9,18290.8,2161.38,243.2,55.4,Efficient (Tier B)
Healthcare,345674.1,16.2,0.8,15943.7,365,4.28,2421.8,4225.3,29.5,15712.9,2081.99,260.2,34.0,High Risk (Tier D)
Healthcare,795271.7,35.9,0.88,29015.0,365,4.44,14786.4,2150.3,39.1,42556.3,3826.3,328.9,41.6,Moderate (Tier C)
Data Center,174785.6,68.5,0.87,6510.5,365,3.44,4952.4,1234.0,89.4,1840.7,354.14,322.2,60.6,Efficient (Tier B)
Manufacturing,1010556.7,37.7,0.87,58436.7,300,3.98,18127.2,4508.7,51.3,21985.0,4091.12,207.5,51.9,Moderate (Tier C)
Healthcare,998608.6,28.2,0.75,39113.6,365,4.42,12707.1,2800.0,71.3,35399.3,4519.48,306.4,49.5,Moderate (Tier C)
Data Center,493711.7,65.6,0.87,8559.3,365,4.2,4717.0,761.2,74.1,2994.6,1009.25,692.2,56.1,Efficient (Tier B)
Healthcare,876495.9,12.6,0.86,20288.1,365,3.25,5108.9,3464.0,58.1,25378.9,4714.33,518.4,26.4,High Risk (Tier D)
Healthcare,824790.3,64.0,0.82,31984.7,365,4.68,2608.2,2462.2,72.9,28210.4,1956.3,309.4,62.7,Efficient (Tier B)
Healthcare,946767.6,43.4,0.78,24432.3,365,3.88,5615.3,1928.2,21.6,17513.2,3570.01,465.0,40.0,Moderate (Tier C)
Data Center,981664.0,72.2,0.76,32217.5,360,4.76,3006.7,616.5,92.7,16155.7,1535.53,365.6,69.3,Efficient (Tier B)
Data Center,650539.3,36.8,0.93,11613.4,365,3.76,1924.6,714.3,42.4,2959.4,2490.37,672.2,40.6,Moderate (Tier C)
Healthcare,1105235.2,24.2,0.76,36895.7,365,4.59,10554.7,841.9,25.9,53037.2,5770.44,359.5,34.5,High Risk (Tier D)
Data Center,1192331.9,37.6,0.81,28043.8,365,3.97,2813.4,755.2,42.2,15251.0,4540.88,510.2,44.5,Moderate (Tier C)
Manufacturing,420495.8,61.4,0.89,27679.9,350,2.87,34134.8,6149.7,81.5,25022.2,1414.96,182.3,58.7,Efficient (Tier B)
Commercial Office,250466.2,47.3,0.54,13205.9,240,4.29,7982.2,558.7,44.8,3141.6,947.4,227.6,56.1,Efficient (Tier B)
Healthcare,331766.4,17.8,0.87,15329.5,365,3.64,8459.6,5568.1,51.1,19222.0,2027.43,259.7,39.6,Moderate (Tier C)
Commercial Office,275593.2,60.2,0.7,14383.1,260,3.4,1251.8,139.8,35.6,4293.6,985.99,229.9,50.1,Moderate (Tier C)
Commercial Office,71210.8,17.7,0.74,8546.8,240,3.2,2483.9,771.7,85.2,1566.8,426.58,100.0,53.3,Moderate (Tier C)
Manufacturing,659377.4,26.5,0.6,23890.4,350,1.88,28330.1,2135.6,22.6,24096.7,3493.67,331.2,24.5,High Risk (Tier D)
Commercial Office,250645.6,24.9,0.79,18473.9,260,2.64,4515.3,1458.6,58.4,6012.1,1380.33,162.8,50.6,Moderate (Tier C)
Healthcare,339293.1,15.3,0.75,15194.6,365,3.13,4883.2,2451.3,24.9,10413.2,2086.63,268.0,32.2,High Risk (Tier D)
Manufacturing,372638.5,39.5,0.79,22561.2,250,2.03,13445.0,11029.6,48.7,7809.9,1945.54,198.2,42.0,Moderate (Tier C)
Commercial Office,153676.5,56.1,0.64,11363.2,240,3.0,2064.4,811.3,72.7,4241.2,544.48,162.3,62.0,Efficient (Tier B)
Healthcare,628696.8,58.2,0.68,20822.7,365,3.14,12755.6,3841.2,33.6,16060.2,2090.23,362.3,43.9,Moderate (Tier C)
Logistics Hub,743837.6,57.1,0.52,78442.1,365,3.09,25349.7,9758.3,79.6,7695.7,2623.73,113.8,63.2,Efficient (Tier B)
Commercial Office,407361.1,89.2,0.59,20846.6,260,4.01,4513.6,296.9,27.0,2303.2,853.63,234.5,64.7,Efficient (Tier B)
Logistics Hub,507420.6,30.3,0.44,43894.3,320,4.09,44674.0,12089.3,58.1,9798.1,3034.58,138.7,57.2,Efficient (Tier B)
Data Center,928922.4,46.5,0.81,23581.7,360,4.33,2753.2,1360.8,55.3,5049.3,2924.41,472.7,52.3,Moderate (Tier C)
Data Center,252803.3,35.0,0.85,8875.2,365,4.64,680.6,1801.8,51.6,7057.4,1100.78,341.8,43.7,Moderate (Tier C)
Logistics Hub,536723.5,32.7,0.7,64748.6,365,2.75,59061.8,13433.7,70.6,14204.4,3185.76,99.5,45.9,Moderate (Tier C)
Logistics Hub,688605.3,58.5,0.64,53625.7,320,3.36,27416.5,14760.1,44.0,5108.1,3167.82,154.1,60.4,Efficient (Tier B)
Healthcare,1204292.8,12.7,0.7,31137.2,365,2.92,3702.7,3951.2,60.4,41549.2,6251.02,464.1,26.1,High Risk (Tier D)
Healthcare,659362.3,25.5,0.88,20628.8,365,3.46,8049.4,871.1,21.5,10103.1,3223.52,383.6,24.4,High Risk (Tier D)
Commercial Office,274900.4,75.4,0.64,19678.5,260,3.63,5250.6,2033.3,63.5,4316.8,702.97,167.6,61.9,Efficient (Tier B)
Commercial Office,55458.3,45.5,0.58,6645.2,260,2.71,5006.8,918.3,34.3,2493.2,363.36,100.1,53.9,Moderate (Tier C)
Logistics Hub,541654.6,76.2,0.58,61456.7,280,4.3,50648.6,13469.1,47.7,11426.4,2538.39,105.8,74.2,Efficient (Tier B)
Commercial Office,23982.4,66.3,0.53,2031.1,260,3.25,1458.3,1161.7,83.7,229.0,91.89,141.7,64.5,Efficient (Tier B)
Logistics Hub,462059.8,17.2,0.44,69422.1,365,2.69,52418.3,16857.6,54.1,12493.0,3750.59,79.9,41.1,Moderate (Tier C)
Logistics Hub,944303.8,16.4,0.44,62381.0,280,2.53,29522.7,11761.0,78.9,4968.2,4768.29,181.7,42.2,Moderate (Tier C)
Healthcare,1667969.9,69.3,0.87,41093.0,365,3.91,12559.4,2797.0,32.4,46554.0,4055.63,487.1,51.5,Moderate (Tier C)
Data Center,697962.0,84.3,0.73,16697.0,360,3.35,4943.0,999.4,94.8,8667.8,705.99,501.6,62.3,Efficient (Tier B)
Data Center,1201331.0,69.0,0.78,22481.4,365,3.64,2700.7,1747.2,60.1,12485.8,2391.09,641.2,50.3,Moderate (Tier C)
Manufacturing,2030014.6,11.5,0.64,58002.9,250,2.49,37163.8,7111.3,70.7,69326.0,10792.86,420.0,30.9,High Risk (Tier D)
Commercial Office,391088.8,87.3,0.56,20863.6,240,3.92,6874.7,571.0,32.0,2872.2,860.09,224.9,63.9,Efficient (Tier B)
Manufacturing,1338562.6,8.4,0.76,41101.9,350,4.05,44018.9,7690.0,39.2,14797.7,7637.73,390.8,29.7,High Risk (Tier D)
Commercial Office,430804.4,75.7,0.55,28111.2,260,3.08,2808.3,1572.7,62.9,10383.7,1131.41,183.9,64.7,Efficient (Tier B)
Commercial Office,294214.0,85.6,0.67,22446.2,240,4.79,5753.2,1949.1,59.4,4516.0,699.98,157.3,71.3,Efficient (Tier B)
Data Center,1546656.3,74.3,0.94,26971.7,365,4.4,1991.1,1416.2,65.0,11801.8,2596.58,688.1,61.7,Efficient (Tier B)
Commercial Office,285588.2,50.0,0.54,13543.8,240,3.23,4848.0,929.5,30.0,4669.0,1143.57,253.0,46.0,Moderate (Tier C)
Manufacturing,350018.4,66.8,0.75,20793.4,350,3.02,19189.1,6808.5,47.0,8392.9,1321.81,202.0,51.2,Moderate (Tier C)
Manufacturing,1223687.9,71.8,0.73,35172.8,300,1.97,37548.9,13286.0,29.8,31088.9,3434.08,417.5,31.3,High Risk (Tier D)
Logistics Hub,590291.4,12.7,0.6,46032.1,320,4.24,28381.3,6275.5,67.2,8521.6,3393.97,153.9,48.7,Moderate (Tier C)
Data Center,843816.3,55.9,0.71,25946.0,360,4.74,3096.4,821.9,44.4,17690.1,2257.48,390.3,52.9,Moderate (Tier C)
Manufacturing,1976025.3,10.6,0.72,46780.3,250,2.19,11057.8,7193.3,81.1,39113.6,9868.48,506.9,28.2,High Risk (Tier D)
Commercial Office,375223.3,38.0,0.74,23143.7,260,3.22,6435.6,2297.9,37.7,4812.5,1946.53,194.6,50.1,Moderate (Tier C)
Logistics Hub,543755.2,46.1,0.75,59101.9,320,2.85,47493.0,4564.0,64.8,7747.4,2598.35,110.4,55.7,Efficient (Tier B)
Manufacturing,2491123.7,5.9,0.74,70835.9,250,3.92,29717.3,6102.2,34.7,76962.3,13823.88,422.0,23.1,High Risk (Tier D)
Commercial Office,230947.6,43.7,0.66,17873.0,240,3.38,909.2,1538.7,39.1,6625.9,1150.64,155.1,49.5,Moderate (Tier C)
Manufacturing,637760.0,62.8,0.85,38767.5,350,3.39,19124.1,11597.4,61.0,30983.7,2107.1,197.4,55.4,Efficient (Tier B)
Manufacturing,2009920.6,45.0,0.72,60986.4,350,3.26,29203.6,4645.9,32.0,52636.5,7536.2,395.5,36.0,Moderate (Tier C)
Commercial Office,60386.3,15.9,0.72,3668.4,260,4.43,4572.5,997.1,34.3,1055.0,376.5,197.5,48.2,Moderate (Tier C)
Commercial Office,260156.2,77.9,0.66,22784.2,260,3.41,4337.8,1259.9,34.4,4894.9,924.56,137.0,63.7,Efficient (Tier B)
Commercial Office,143311.9,23.5,0.47,16159.5,240,3.7,7959.4,584.4,84.6,2867.2,659.32,106.4,54.5,Moderate (Tier C)
Logistics Hub,1028627.6,30.8,0.72,65557.7,280,3.79,17051.3,17243.6,34.6,14320.0,5572.69,188.3,47.5,Moderate (Tier C)
Healthcare,331054.1,51.1,0.68,14285.8,365,3.84,5196.0,2662.3,72.2,21263.8,1102.63,278.1,53.8,Moderate (Tier C)
Commercial Office,79987.4,72.4,0.64,5991.6,260,4.05,1774.0,233.0,51.9,1194.4,250.57,160.2,58.5,Efficient (Tier B)
Data Center,1113562.4,36.8,0.71,24589.2,365,3.2,4805.2,1278.8,61.6,15668.1,3938.98,543.4,35.2,Moderate (Tier C)
Logistics Hub,190321.2,64.7,0.46,30400.1,365,2.92,41446.4,5573.1,56.2,3538.5,1090.86,75.1,63.5,Efficient (Tier B)
Data Center,1135874.9,43.9,0.91,23832.4,365,3.48,4434.4,1695.1,62.5,7978.9,3804.95,571.9,45.7,Moderate (Tier C)
Data Center,1076121.4,54.4,0.9,34346.6,360,4.62,1726.9,1516.8,43.7,14538.0,3381.91,376.0,56.8,Efficient (Tier B)
Manufacturing,952117.7,74.8,0.87,21779.7,350,2.92,26943.5,6832.9,28.8,16719.2,1920.35,524.6,45.0,Moderate (Tier C)
Manufacturing,1448958.4,19.6,0.64,53904.6,350,4.36,40184.1,12884.5,43.1,64274.8,8261.15,322.6,44.4,Moderate (Tier C)
Healthcare,1051469.7,38.3,0.75,32761.1,365,3.52,9719.1,3793.1,50.4,18922.9,4157.1,385.1,41.9,Moderate (Tier C)
Logistics Hub,402563.2,58.6,0.66,52068.7,365,3.21,50109.6,11894.5,64.0,5323.1,2183.88,92.8,65.3,Efficient (Tier B)
Commercial Office,444360.8,67.1,0.66,24294.8,240,3.51,2879.8,2288.7,36.9,2873.6,1425.68,219.5,58.9,Efficient (Tier B)
Data Center,576194.9,24.8,0.93,14571.4,365,4.47,607.8,1252.7,65.9,11145.4,2669.25,474.5,45.0,Moderate (Tier C)
Manufacturing,538383.1,39.6,0.77,15942.4,250,2.14,15144.5,9705.0,27.9,8736.2,2432.86,405.2,29.8,High Risk (Tier D)
Manufacturing,1180687.0,17.7,0.79,48226.1,350,2.96,34994.4,12956.5,37.5,39300.0,5869.41,293.8,29.2,High Risk (Tier D)
Data Center,368672.1,25.1,0.78,10959.3,365,4.19,3153.4,321.3,79.8,7659.7,1461.57,403.7,37.4,Moderate (Tier C)
Commercial Office,425629.3,65.2,0.65,23634.8,260,3.42,6589.0,133.3,76.9,6967.9,1038.12,216.1,64.5,Efficient (Tier B)
Logistics Hub,397943.8,75.2,0.45,75628.9,280,3.42,40406.6,13282.4,89.8,14052.9,1390.4,63.1,77.4,Leader (Tier A)
Commercial Office,266440.5,82.7,0.76,22164.4,260,3.24,928.4,430.3,26.6,2222.6,902.68,144.3,58.4,Efficient (Tier B)
Data Center,446485.9,27.8,0.79,11283.7,360,4.52,3920.0,762.7,93.7,5037.1,1623.09,474.8,46.7,Moderate (Tier C)
Healthcare,1382747.8,33.6,0.73,31887.3,365,4.36,11956.2,4396.6,27.2,46625.7,5924.51,520.4,38.6,Moderate (Tier C)
Logistics Hub,849472.6,31.9,0.6,58661.1,320,3.95,31513.3,6061.2,68.2,5356.7,3944.42,173.8,56.7,Efficient (Tier B)
Commercial Office,106469.6,82.3,0.63,13151.9,260,4.3,7319.4,988.6,80.0,4279.4,265.44,97.1,82.1,Leader (Tier A)
Commercial Office,152257.0,21.2,0.58,7118.8,240,4.31,7274.4,741.8,64.0,2446.8,777.4,256.7,45.0,Moderate (Tier C)
Data Center,863154.1,90.3,0.93,19569.4,365,4.71,3940.9,464.1,77.5,12019.4,678.13,529.3,67.9,Efficient (Tier B)
Manufacturing,947201.3,5.4,0.79,31555.1,300,2.46,17241.9,2764.2,49.0,14496.9,5279.41,360.2,24.8,High Risk (Tier D)
Data Center,368048.7,21.2,0.76,7527.7,365,4.62,4755.9,763.3,78.8,5383.1,1503.63,586.7,46.0,Moderate (Tier C)
Logistics Hub,873211.7,25.2,0.49,63228.6,365,3.78,28821.6,16035.5,35.3,15294.6,5949.28,165.7,48.2,Moderate (Tier C)
Manufacturing,897108.3,37.3,0.8,22644.8,250,2.31,33815.4,8133.4,73.9,19109.5,3831.63,475.4,35.1,Moderate (Tier C)
Manufacturing,2319181.2,55.8,0.63,63921.6,300,3.61,32881.0,6355.8,27.3,69760.9,8255.9,435.4,43.5,Moderate (Tier C)
Manufacturing,1518318.3,49.1,0.61,36505.6,300,2.74,39499.9,4796.9,76.1,33792.1,4787.22,499.1,43.2,Moderate (Tier C)
Manufacturing,824438.3,41.9,0.77,18598.7,300,4.26,13860.7,2673.9,31.2,9858.7,2825.09,531.9,39.1,Moderate (Tier C)
Healthcare,448094.8,38.4,0.66,14196.0,365,3.04,7406.2,1128.3,44.8,11874.0,1644.41,378.8,39.0,Moderate (Tier C)
Logistics Hub,850149.8,39.3,0.56,71496.4,280,4.07,23807.1,15483.5,57.5,12851.4,4298.44,142.7,54.3,Moderate (Tier C)
Commercial Office,170215.2,15.1,0.63,9186.1,260,4.22,2836.8,2129.6,49.5,1634.0,992.66,222.4,44.4,Moderate (Tier C)
Manufacturing,1382895.2,16.7,0.86,47099.5,300,1.8,41600.1,12126.6,27.8,45595.3,7799.87,352.3,19.3,High Risk (Tier D)
Commercial Office,70603.8,70.8,0.78,3892.9,240,4.12,2807.8,681.2,71.2,474.6,180.45,217.6,67.3,Efficient (Tier B)
Commercial Office,158396.3,44.4,0.77,8566.0,260,3.04,903.7,555.7,77.2,956.7,507.83,221.9,55.6,Efficient (Tier B)
Manufacturing,911539.8,42.4,0.8,32180.9,300,4.17,35927.3,10059.1,22.5,10573.0,4418.02,339.9,43.9,Moderate (Tier C)
Data Center,1059303.2,18.3,0.84,29242.0,360,3.5,2922.8,1985.8,78.9,20894.0,5125.35,434.7,39.2,Moderate (Tier C)
Data Center,387940.2,94.3,0.8,15367.4,365,3.24,582.2,1827.4,92.3,3706.4,219.01,302.9,70.5,Efficient (Tier B)
Commercial Office,90619.9,80.7,0.51,5836.6,260,3.78,2685.2,1101.7,83.8,1243.5,156.37,186.3,78.6,Leader (Tier A)
Commercial Office,199465.8,65.6,0.49,15802.8,240,3.28,5816.7,2485.1,79.9,3071.9,575.67,151.5,70.0,Efficient (Tier B)
Manufacturing,2540394.2,43.1,0.69,69527.5,250,1.99,41377.2,4281.5,25.1,72247.8,10523.45,438.5,29.1,High Risk (Tier D)
Data Center,1132560.9,81.1,0.91,33663.4,360,3.88,2672.8,582.1,67.6,9066.7,1575.15,403.7,62.2,Efficient (Tier B)
Commercial Office,46231.6,55.8,0.79,2402.7,240,3.15,2667.3,1004.9,35.4,523.8,208.02,230.9,46.7,Moderate (Tier C)
Commercial Office,220936.4,23.9,0.56,21354.9,240,4.41,5410.4,1086.9,51.1,6385.3,1309.12,124.2,53.5,Moderate (Tier C)
Healthcare,952791.8,54.1,0.7,37345.8,365,4.7,4728.7,2156.8,58.5,54770.4,3156.62,306.2,60.4,Efficient (Tier B)
Commercial Office,249023.7,73.1,0.7,25881.9,260,4.26,1315.1,2455.0,47.3,5551.3,1034.99,115.5,72.8,Efficient (Tier B)
Manufacturing,1054600.9,69.7,0.64,50798.5,250,3.23,34828.7,11911.3,73.3,47085.4,2866.97,249.1,63.2,Efficient (Tier B)
Manufacturing,1634854.6,14.3,0.88,46521.1,300,2.2,28858.7,11772.6,32.8,29955.5,9134.12,421.7,20.8,High Risk (Tier D)
Commercial Office,105511.9,29.5,0.67,8649.5,260,3.85,4445.6,1922.3,55.6,2714.2,560.5,146.4,57.9,Efficient (Tier B)
Manufacturing,1072667.9,27.1,0.76,40713.5,250,2.73,32354.8,2304.2,23.6,37498.9,6073.46,316.2,28.8,High Risk (Tier D)
Commercial Office,216903.9,78.7,0.59,19074.8,240,3.75,2052.9,1405.5,50.8,3232.8,616.02,136.5,71.1,Efficient (Tier B)
Healthcare,688679.9,24.4,0.74,17085.4,365,3.02,9415.3,3824.1,44.4,20266.1,3257.73,483.7,32.7,High Risk (Tier D)
Commercial Office,90477.7,72.0,0.76,9906.3,260,2.88,7373.7,886.8,47.0,2096.4,388.01,109.6,62.2,Efficient (Tier B)
Data Center,1705865.2,84.2,0.85,33561.9,365,3.11,1913.2,1098.6,44.8,11073.7,2173.75,609.9,53.1,Moderate (Tier C)
Commercial Office,276632.1,57.7,0.54,15646.8,240,3.52,4167.9,944.0,74.5,5834.1,848.59,212.2,61.6,Efficient (Tier B)
Commercial Office,316202.5,40.4,0.6,24730.6,240,4.42,7893.3,1999.1,60.4,6934.8,1400.63,153.4,57.8,Efficient (Tier B)
Commercial Office,58045.1,41.8,0.61,3149.9,240,3.42,5553.2,1180.8,66.3,1022.7,261.21,221.1,53.2,Moderate (Tier C)
Healthcare,577044.5,23.0,0.79,14897.5,365,3.21,5794.8,4692.8,73.2,13867.5,2470.53,464.8,38.7,Moderate (Tier C)
Data Center,1547537.0,67.9,0.81,26453.8,360,3.6,4829.5,1164.1,76.7,15104.4,3022.08,702.0,56.3,Efficient (Tier B)
Healthcare,826525.8,18.3,0.66,26905.9,365,2.84,6653.5,2535.0,60.6,22236.8,4070.14,368.6,26.1,High Risk (Tier D)
Healthcare,1726008.3,66.2,0.77,39707.7,365,4.2,13122.2,2975.1,48.4,29397.7,4135.03,521.6,48.1,Moderate (Tier C)
Manufacturing,861347.7,45.9,0.63,42321.5,350,3.46,18033.0,4300.8,33.5,33855.0,3947.82,244.2,43.5,Moderate (Tier C)
Manufacturing,1145299.1,42.5,0.71,65341.4,250,2.29,22213.9,3986.0,61.3,61155.8,5237.9,210.3,44.3,Moderate (Tier C)
Manufacturing,486228.9,26.4,0.61,22771.7,250,4.06,33173.4,13143.2,37.2,21971.7,3231.4,256.2,40.7,Moderate (Tier C)
Manufacturing,1148485.1,42.3,0.63,55252.5,300,1.94,34043.4,3455.6,56.7,31631.9,4688.91,249.4,41.5,Moderate (Tier C)
Manufacturing,980153.0,55.5,0.71,49037.9,300,4.23,28307.4,3489.3,31.9,20069.9,3821.68,239.9,57.6,Efficient (Tier B)
Commercial Office,165917.7,29.8,0.46,11194.8,260,3.63,4464.9,902.7,77.3,2863.6,719.71,177.9,57.4,Efficient (Tier B)
